Target,MAE,RMSE,R²
Cylinder compressive strength (MPa),4.08296012878418,6.122741282744983,0.8804392218589783
Splitting tensile strength (MPa),0.40128353238105774,0.7613992656823463,0.8848622441291809
Flexural strength (MPa),0.29837533831596375,0.6914308403513014,0.9381518363952637
Elastic modulus (GPa),2.77908992767334,5.47152151450726,0.7979708909988403
Embodied CO₂ (kg CO₂e/m³),2.7983787059783936,4.3498854084925735,0.9983461499214172
Cost ($/kg),1.9631589651107788,3.082581058868861,0.9877762198448181
Drying shrinkage (με) 28d,11.087825775146484,41.14515410172488,0.8815778493881226
Creep (με) 28d,1.313062071800232,8.79454386367022,0.9556735754013062
